RECIPE NAME,INGREDIENTS,COOKING TIME (MINUTES),ENERGY/DIFFICULTY (1-5),COST ESTIMATE ($-$$$),MEAL TYPE,PRIMARY NUTRIENTS,SOURCE,IMAGE
rainbow quinoa taco salad / creamy sunflower seed dressing,quinoa    water    salt    lettuce    black beans    corn    avocados    red onion    tomato    cilantro leaves    limes    corn chips / sunflower seeds    acv    hot sauce    nooch    garlic powder    onion powder    black pepper,40,2.5,$,meal    meal prep    salad    gf,carb    vegetable,https://www.hotforfoodblog.com/recipes/2015/05/04/rainbow-quinoa-taco-salad/,https://www.hotforfoodblog.com/wp-content/uploads/2015/05/rainbowquinoatacosalad_hotforfoodblog_filtered5-1536x1024.jpg
mushroom sage cauliflower risotto,cauliflower    coconut oil    shallot    cloves    mushrooms    white wine    nooch    vegetable stock    salt    black pepper    miso paste    sage    vegan parmesan ,45,3,$$,meal    meal prep    gf,vegetable,https://www.hotforfoodblog.com/recipes/2014/08/07/mushroom-sage-cauliflower-risotto/,https://www.hotforfoodblog.com/wp-content/uploads/2014/08/cauliflowerrisotto_hotforfood_SMALL_filtered-1383x1536.jpg
vegan sheet pan beef burritos / adobo sour cream / pico de gallo,soy curls    water from soaking soy curls    acv    chipotle chili powder    oregano    cumin    garlic powder    all-spice    mustard powder    salt    black pepper    vegan beef bullion    oil    cauliflower    lime    cilantro    green onion    roy bell peppers    red onion    frozen corn    tortillas    vegan cheddar shreds    avocado / vegan sour cream    canned adobo chilis    lime juice    garlic powder / vine tomatoes    jalapeño    red onion    garlic cloves    lime    salt    chipoltle chili powder    cumin    cilantro,65,3.5,$$,meal    bowl    gf,protien,https://www.hotforfoodblog.com/recipes/2019/04/24/vegan-sheet-pan-beef-burritos/,https://www.hotforfoodblog.com/wp-content/uploads/2019/04/vegansheetpanburrito_hotforfood_filtered2-1536x1024.jpg
vegan scalloped potatoes recipe,russet potatoes    onion    vegan butter    cashews    hot water    vegan chicken boullion    white wine vinegar    nooch    salt    black pepper    garlic cloves    fresh thyme,95,4,$,side,carb,https://www.hotforfoodblog.com/recipes/appetizers/2023/11/08/vegan-caramelized-onion-scalloped-potatoes/#vegan-scalloped-potatoes-recipe,https://www.hotforfoodblog.com/wp-content/uploads/2023/11/caramelized-onion-scalloped-potatoes_hot-for-food_filtered1-360x360.jpg
vegan pineapple coconut rice / sweet & sour tofu,whole pineapple    white rice    frozen peas    full-fat coconut milk    water    salt    red bell pepper    soy sauce    lime    chili paste    oil    broccoli florets    carrot    cashews    green onions / extra-firm tofu    cornstarch    water    oil    garlic cloves    fresh ginger    chili flakes    rice vinegar    sweetener    water    tomato paste    soy sauce    salt,50,4,$$,meal    meal prep    bowl    gf,carb    protien,https://www.hotforfoodblog.com/recipes/2019/05/01/sheet-pan-pineapple-coconut-rice-with-sweet-sour-tofu/,https://www.hotforfoodblog.com/wp-content/uploads/2019/04/pineapplecoconutrice_hotforfood_filtered7-1536x1024.jpg
roasted cauliflower alfredo sauce,cauliflower    oil    thyme    garlic powder    smoked paprika    black pepper    noodles    pasta water    nondairy milk    lemon juice    white miso    tahini    onion powder    garlic cloves    salt    black pepper    fresh parsley,55,2,$,meal    meal prep    pasta    gf,carb,https://www.hotforfoodblog.com/recipes/sauces/2020/06/24/roasted-cauliflower-alfredo/#recipe,https://www.hotforfoodblog.com/wp-content/uploads/2020/06/caulifloweralfredo_hotforfood_filtered1-360x360.jpg
breakfast hash bowl,potatoes    oil    paprika    black pepper    firm tofu    mushrooms    turmeric    nooch    nondairy milk    black pepper    spinich    salsa,40,2.5,$,breakfast    meal    bowl    gf,carb    protien,https://www.hotforfoodblog.com/recipes/2015/04/23/breakfast-hash-bowl/#recipe,https://www.hotforfoodblog.com/wp-content/uploads/2015/04/easybreakfasthashbowl_hotforfoodblog_filtered1-360x360.jpg
vegan banana breakfast muffins,nondairy milk    acv    bananas    flour    baking powder    baking soda    cinnamon    salt    sugar    vanilla extract    walnuts,35,2,$,breakfast    snack    dessert,carb,https://www.hotforfoodblog.com/recipes/2019/08/31/vegan-banana-breakfast-muffins/#recipe,https://www.hotforfoodblog.com/wp-content/uploads/2019/08/banana-breakfast-muffins_hotforfood_filtered3-360x360.jpg
vegan coffee cake,ap flour    whole wheat flour    cinnamon    baking soda    baking powder    salt    brown sugar    granulated sugar    coconut oil    nondairy milk    acv    vanilla extract    coffee    unsweetened nondairy yogurt,95,2.5,$$,breakfast    dessert,carb,https://www.hotforfoodblog.com/recipes/2016/08/08/vegan-coffee-cake/,https://www.hotforfoodblog.com/wp-content/uploads/2016/08/vegancoffeecake_hotforfood_filtered4-840x560.jpg
vegan omelette,medium firm tofu    unsweet nondairy milk    nooch    chickpea flour    tapioca starch    turmeric    garlic powder    onion powder    old bay seasoning    salt    black pepper    vegan butter    mushrooms    oil    onions    vegan cheddar shreds,25,3,$$$,breakfast    meal    special occasion    gf,protien,https://www.hotforfoodblog.com/recipes/2016/07/11/how-to-make-a-vegan-omelette/,https://www.hotforfoodblog.com/wp-content/uploads/2016/07/veganomelette_hotforfood_filtered1-1536x1024.jpg
